state,price,name,fuel_type,transmmision,make,model,year,condition,millage,engine_size
Abuja (FCT),16800000,Land Rover Range Rover Sport 2014 Black,Petrol,Automatic,Land Rover,Range Rover Sport,2014,Foreign Used,116255,5000
Abuja (FCT),6825000,Mercedes-Benz GLK-Class 350 4MATIC 2011 White,Petrol,Automatic,Mercedes-Benz,GLK-Class,2011,Nigerian Used,225463,3500
Abuja (FCT),7350000,Toyota Tacoma 2010 Gray,Petrol,Automatic,Toyota,Tacoma,2010,Foreign Used,184563,4000
Rivers State,3255000,Hyundai Sonata 2012 Green,Petrol,Automatic,Hyundai,Sonata,2012,Nigerian Used,140201,2000
Abuja (FCT),7072000,Mazda CX-9 2009 Blue,Petrol,Automatic,Mazda,CX-9,2009,Foreign Used,152200,3700
Imo State,5304000,Hyundai Elantra Limited 2012 Silver,Petrol,Automatic,Hyundai,Elantra,2012,Foreign Used,95184,1800
Abuja (FCT),12600000,Hyundai Santa Fe 2018 Silver,Petrol,Automatic,Hyundai,Santa Fe,2018,Foreign Used,92268,2400
Abuja (FCT),14700000,Land Rover Range Rover Vogue 2017 Black,Petrol,Automatic,Land Rover,Range Rover Vogue,2017,Nigerian Used,42082,2000
Abuja (FCT),3255000,Toyota Camry 2008 Red,Petrol,Automatic,Toyota,Camry,2008,Nigerian Used,122314,3500
Abuja (FCT),7350000,Toyota Sienna 2012 Gray,Petrol,Automatic,Toyota,Sienna,2012,Foreign Used,93596,3500
Abuja (FCT),4680000,Toyota RAV4 2006 Gold,Petrol,Automatic,Toyota,RAV4,2006,Nigerian Used,115592,3500
Rivers State,7350000,Mercedes-Benz CLK 2012 Off white,Petrol,Automatic,Mercedes-Benz,CLK,2012,Nigerian Used,3500,
Kwara State,3360000,Nissan Altima 2012 Black,Petrol,Automatic,Nissan,Altima,2012,Nigerian Used,174590,3500
Oyo State,5670000,Toyota Highlander 2010 Black,Petrol,Automatic,Toyota,Highlander,2010,Nigerian Used,50822,3500
Abuja (FCT),5040000,Toyota Camry 2013 Black,Petrol,Automatic,Toyota,Camry,2013,Nigerian Used,152224,2500
Abuja (FCT),4200000,Lexus GX 2004 Black,Petrol,Automatic,Lexus,GX,2004,Nigerian Used,250620,4700
Anambra State,7875000,Mercedes-Benz GLK-Class 350 4MATIC 2013 White,Petrol,Automatic,Mercedes-Benz,GLK-Class,2013,Nigerian Used,182737,3500
Kaduna State,4160000,Toyota Corolla 2009 Red,Petrol,Automatic,Toyota,Corolla,2009,Nigerian Used,109235,2400
Kwara State,1575000,Volkswagen Golf GTI 2002 Black,Petrol,Manual,Volkswagen,Golf GTI,2002,Nigerian Used,341814,1600
Lagos State,21000000,Land Rover Range Rover Sport 2016 White,Petrol,Automatic,Land Rover,Range Rover Sport,2016,Nigerian Used,33384,5000
Abuja (FCT),11025000,Hyundai Sonata 2021 Black,Petrol,Automatic,Hyundai,Sonata,2021,Nigerian Used,34288,2400
Lagos State,9933000,Lexus RX 2010 Gold,Petrol,Automatic,Lexus,RX,2010,Foreign Used,80000,3500
Lagos State,3224000,Ford Edge 2007 Off white,Petrol,Automatic,Ford,Edge,2007,Nigerian Used,153652,3500
Lagos State,8320000,Toyota Avalon 2015 Off white,Petrol,Automatic,Toyota,Avalon,2015,Nigerian Used,209814,3500
Abuja (FCT),7072000,Toyota Venza 2011 Black,Petrol,Automatic,Toyota,Venza,2011,Nigerian Used,151968,3500
Lagos State,6510000,Toyota RAV4 2010 Red,Petrol,Automatic,Toyota,RAV4,2010,Foreign Used,148093,2500
Abuja (FCT),4576000,Mercedes-Benz E350 2007 Red,Petrol,Automatic,Mercedes-Benz,E350,2007,Nigerian Used,104805,3500
Abuja (FCT),3120000,Toyota Avalon 2007 Gray,Petrol,Automatic,Toyota,Avalon,2007,Nigerian Used,220732,3500
Lagos State,4200000,Mercedes-Benz C300 2008 Gray,Petrol,Automatic,Mercedes-Benz,C300,2008,Foreign Used,197693,3000
Kaduna State,20800000,Toyota Highlander 2017 Green,Petrol,Automatic,Toyota,Highlander,2017,Foreign Used,81355,3000
Lagos State,3885000,Acura RDX 2007 Black,Petrol,Automatic,Acura,RDX,2007,Nigerian Used,213525,28000
